Time, state, AID, D0,D1,D2,D3,D4,D5,D6,D7
39961 ms, 1, 228, 0, 4, 0, 0, 0, 0, 0, 0
40011 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
40061 ms, 1, 200, 167, 45, 39, 45, 39, 45, 128, 0
40112 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
40162 ms, 1, 200, 167, 44, 39, 44, 39, 44, 128, 0
40212 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
40262 ms, 1, 200, 167, 45, 39, 45, 39, 45, 128, 0
40312 ms, 1, 190, 0, 0, 64, 0, 0, 0, 0, 0
40361 ms, 1, 200, 167, 45, 39, 45, 39, 45, 128, 0
40413 ms, 1, 200, 167, 45, 39, 45, 39, 45, 128, 0
40463 ms, 1, 200, 167, 45, 39, 45, 39, 45, 128, 0
40508 ms, 1, 200, 167, 45, 39, 45, 39, 45, 128, 0
40558 ms, 1, 205, 0, 0, 64, 0, 0, 0, 0, 0
40608 ms, 1, 240, 12, 0, 64, 0, 0, 0, 0, 0
40658 ms, 1, 240, 11, 0, 64, 0, 0, 0, 0, 0
40709 ms, 1, 240, 13, 0, 64, 0, 0, 0, 0, 0
40759 ms, 1, 240, 12, 0, 64, 0, 0, 0, 0, 0
40808 ms, 1, 240, 13, 0, 64, 0, 0, 0, 0, 0
40858 ms, 1, 240, 12, 0, 64, 0, 0, 0, 0, 0
40908 ms, 1, 240, 12, 0, 64, 0, 0, 0, 0, 0
40958 ms, 1, 240, 12, 0, 64, 0, 0, 0, 0, 0
41009 ms, 1, 240, 13, 0, 64, 0, 0, 0, 0, 0
41082 ms, 1, 240, 12, 0, 64, 0, 0, 0, 0, 0
41133 ms, 1, 200, 167, 48, 39, 48, 39, 48, 128, 0
41183 ms, 1, 200, 167, 47, 39, 47, 39, 47, 128, 0
41233 ms, 1, 200, 167, 46, 39, 46, 39, 46, 128, 0
41284 ms, 1, 200, 167, 45, 39, 45, 39, 45, 128, 0
41334 ms, 1, 200, 167, 45, 39, 45, 39, 45, 128, 0
41384 ms, 1, 200, 167, 45, 39, 45, 39, 45, 128, 0
41435 ms, 1, 200, 167, 45, 39, 45, 39, 45, 128, 0
41485 ms, 1, 200, 167, 44, 39, 44, 39, 44, 128, 0
41535 ms, 1, 200, 167, 46, 39, 46, 39, 46, 128, 0
41591 ms, 1, 200, 167, 45, 39, 45, 39, 45, 128, 0
41643 ms, 1, 200, 167, 45, 39, 45, 39, 45, 128, 0
41693 ms, 1, 200, 167, 44, 39, 44, 39, 44, 128, 0
41743 ms, 1, 200, 167, 43, 39, 43, 39, 43, 128, 0
