Time, LOAD, AID, D0,D1,D2,D3,D4,D5,D6,D7
14440, 26 % , 228, 0, 4, 0, 0, 0, 0, 0, 0
14784, 26 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
14866, 26 % , 430, 187, 18, 1, 0, 0, 0, 128, 0
15041, 26 % , 4EA, 0, 65, 4, 67, 0, 0, 0, 0
15139, 26 % , 200, 167, 42, 39, 42, 39, 42, 128, 0
15249, 26 % , 200, 167, 42, 39, 42, 39, 42, 128, 0
15350, 26 % , 433, 0, 6, 8, 1, 0, 156, 80, 0
15540, 26 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
15634, 26 % , 420, 117, 0, 16, 0, 0, 0, 0, 0
15729, 26 % , 201, 2, 159, 64, 0, 0, 0, 0, 0
15879, 26 % , 201, 2, 158, 64, 0, 0, 0, 0, 0
15963, 26 % , 201, 2, 159, 64, 20, 0, 0, 0, 0
16022, 26 % , 201, 2, 160, 64, 20, 0, 0, 0, 0
16081, 26 % , 200, 167, 43, 39, 43, 39, 43, 128, 0
16229, 26 % , 200, 167, 42, 39, 42, 39, 42, 128, 0
16350, 26 % , 433, 0, 6, 8, 1, 0, 156, 80, 0
16499, 26 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
16557, 26 % , 228, 0, 4, 0, 0, 0, 0, 128, 0
16839, 26 % , 420, 116, 0, 18, 0, 0, 0, 0, 0
16902, 26 % , 201, 2, 168, 64, 0, 0, 0, 0, 0
17008, 26 % , 200, 167, 43, 39, 43, 39, 43, 128, 0
17298, 26 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
17427, 26 % , 200, 167, 41, 39, 41, 39, 41, 128, 0
17987, 26 % , 200, 167, 40, 39, 40, 39, 40, 128, 0
18318, 26 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
18821, 27 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
19247, 27 % , 200, 167, 50, 39, 50, 39, 50, 128, 0
19539, 27 % , 201, 2, 152, 64, 20, 0, 0, 0, 0
19600, 27 % , 201, 2, 153, 64, 20, 0, 0, 0, 0
19680, 27 % , 201, 2, 155, 64, 20, 0, 0, 0, 0
19749, 27 % , 200, 167, 49, 39, 49, 39, 49, 128, 0
19830, 27 % , 200, 167, 48, 39, 48, 39, 48, 128, 0
19931, 27 % , 231, 1, 75, 1, 0, 0, 0, 128, 0
20025, 27 % , 200, 167, 48, 39, 48, 39, 48, 128, 0
20149, 27 % , 200, 167, 45, 39, 45, 39, 45, 128, 0
20280, 27 % , 4EA, 0, 65, 4, 69, 0, 0, 0, 0
