Time, RPM, AID, D0,D1,D2,D3,D4,D5,D6,D7
Time, RPM, AID, D0,D1,D2,D3,D4,D5,D6,D7
7975, 701 rpm , 201, 2, 190, 64, 0, 0, 0, 0, 0
8166, 699 rpm , 201, 2, 190, 64, 0, 0, 0, 0, 0
8258, 702 rpm , 430, 186, 18, 64, 0, 0, 0, 0, 0
8314, 702 rpm , 200, 167, 39, 39, 39, 39, 39, 128, 0
8385, 701 rpm , 201, 2, 190, 63, 216, 0, 0, 11, 0
8514, 703 rpm , 200, 167, 142, 39, 142, 39, 142, 128, 0
8605, 775 rpm , 201, 3, 7, 67, 192, 0, 0, 22, 0
9136, 1722 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
9194, 1846 rpm , 201, 7, 30, 69, 140, 0, 0, 14, 0
9264, 1949 rpm , 200, 167, 97, 39, 97, 39, 97, 128, 0
9334, 2061 rpm , 200, 167, 102, 39, 102, 39, 102, 128, 0
9475, 2302 rpm , 200, 167, 109, 39, 109, 39, 109, 128, 0
10126, 3015 rpm , 420, 136, 0, 43, 0, 0, 0, 0, 0
10183, 2983 rpm , 201, 11, 175, 62, 112, 0, 0, 7, 0
10289, 2922 rpm , 228, 0, 4, 0, 0, 96, 0, 0, 0
10574, 2685 rpm , 201, 10, 132, 62, 92, 0, 0, 7, 0
10764, 2583 rpm , 228, 0, 4, 0, 0, 72, 0, 0, 0
11015, 2586 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
11104, 2626 rpm , 201, 10, 60, 65, 244, 0, 0, 12, 0
11225, 2689 rpm , 420, 136, 0, 47, 0, 0, 0, 0, 0
11373, 2761 rpm , 200, 167, 29, 39, 29, 39, 29, 128, 0
11452, 2799 rpm , 200, 167, 28, 39, 28, 39, 28, 128, 0
11587, 2840 rpm , 228, 0, 4, 0, 0, 108, 0, 0, 0
11648, 2868 rpm , 430, 186, 18, 0, 0, 108, 0, 0, 0
11712, 2885 rpm , 200, 167, 22, 39, 22, 39, 22, 128, 0
11783, 2899 rpm , 200, 167, 21, 39, 21, 39, 21, 128, 0
12072, 2933 rpm , 201, 11, 118, 64, 20, 0, 0, 12, 0
12163, 2941 rpm , 200, 167, 14, 39, 14, 39, 14, 128, 0
12962, 2978 rpm , 200, 167, 12, 39, 12, 39, 12, 128, 0
13112, 2986 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
13181, 2991 rpm , 201, 11, 175, 64, 0, 0, 0, 12, 0
13261, 2994 rpm , 200, 167, 12, 39, 12, 39, 12, 128, 0
13363, 3003 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
13421, 3007 rpm , 200, 167, 11, 39, 11, 39, 11, 128, 0
13802, 3021 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
13982, 3025 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
14071, 3028 rpm , 201, 11, 209, 63, 196, 0, 0, 12, 0
14186, 3032 rpm , 228, 0, 4, 0, 0, 0, 0, 12, 0
14270, 3038 rpm , 200, 167, 12, 39, 12, 39, 12, 128, 0
14341, 3043 rpm , 201, 11, 225, 64, 20, 0, 0, 12, 0
14410, 3043 rpm , 201, 11, 227, 63, 236, 0, 0, 12, 0
14480, 3048 rpm , 201, 11, 233, 64, 100, 0, 0, 12, 0
14540, 3054 rpm , 201, 11, 236, 64, 60, 0, 0, 12, 0
14610, 3055 rpm , 201, 11, 237, 63, 236, 0, 0, 12, 0
14670, 3055 rpm , 200, 167, 11, 39, 11, 39, 11, 128, 0
