Time, state, AID, D0,D1,D2,D3,D4,D5,D6,D7
Time, state, AID, D0,D1,D2,D3,D4,D5,D6,D7
20182 ms, 1, 228, 0, 4, 0, 0, 0, 0, 0, 0
20238 ms, 1, 240, 109, 0, 0, 0, 0, 0, 0, 0
20294 ms, 1, 240, 100, 0, 0, 0, 0, 0, 0, 0
20349 ms, 1, 200, 167, 50, 39, 50, 39, 50, 128, 0
20406 ms, 1, 228, 0, 4, 0, 0, 39, 50, 128, 0
20461 ms, 1, 200, 167, 52, 39, 52, 39, 52, 128, 0
20517 ms, 1, 240, 110, 0, 39, 52, 39, 52, 128, 0
20575 ms, 1, 240, 107, 0, 0, 0, 0, 0, 0, 0
20630 ms, 1, 200, 167, 61, 39, 61, 39, 61, 128, 0
20685 ms, 1, 240, 111, 0, 39, 61, 39, 61, 128, 0
20783 ms, 1, 200, 167, 65, 39, 65, 39, 65, 128, 0
20885 ms, 1, 240, 110, 0, 39, 65, 39, 65, 128, 0
20986 ms, 1, 200, 167, 70, 39, 70, 39, 70, 128, 0
21089 ms, 1, 240, 113, 0, 39, 70, 39, 70, 128, 0
21189 ms, 1, 240, 115, 0, 39, 70, 39, 70, 128, 0
21260 ms, 1, 240, 121, 0, 39, 70, 39, 70, 128, 0
21315 ms, 1, 240, 124, 0, 39, 70, 39, 70, 128, 0
21371 ms, 1, 200, 167, 76, 39, 76, 39, 76, 128, 0
21427 ms, 1, 240, 138, 0, 39, 76, 39, 76, 128, 0
21483 ms, 1, 240, 159, 0, 39, 76, 39, 76, 128, 0
21544 ms, 1, 240, 105, 0, 39, 76, 39, 76, 128, 0
21601 ms, 1, 200, 167, 75, 39, 75, 39, 75, 128, 0
21656 ms, 1, 240, 125, 0, 39, 75, 39, 75, 128, 0
21713 ms, 1, 240, 195, 0, 0, 0, 0, 0, 0, 0
21785 ms, 1, 200, 167, 77, 39, 77, 39, 77, 128, 0
21840 ms, 1, 240, 87, 0, 39, 77, 39, 77, 128, 0
21896 ms, 1, 240, 107, 0, 39, 77, 39, 77, 128, 0
21954 ms, 1, 240, 41, 0, 0, 0, 0, 0, 0, 0
22009 ms, 1, 200, 167, 73, 39, 73, 39, 73, 128, 0
22066 ms, 1, 240, 68, 0, 39, 73, 39, 73, 128, 0
22134 ms, 1, 240, 95, 0, 0, 0, 0, 0, 0, 0
22190 ms, 1, 200, 167, 63, 39, 63, 39, 63, 128, 0
22245 ms, 1, 240, 102, 0, 39, 63, 39, 63, 128, 0
22304 ms, 1, 240, 103, 0, 0, 0, 0, 0, 0, 0
22360 ms, 1, 200, 167, 55, 39, 55, 39, 55, 128, 0
22415 ms, 1, 240, 103, 0, 39, 55, 39, 55, 128, 0
22471 ms, 1, 231, 1, 75, 1, 0, 0, 0, 128, 0
22526 ms, 1, 240, 108, 0, 1, 0, 0, 0, 128, 0
22582 ms, 1, 240, 107, 0, 1, 0, 0, 0, 128, 0
22638 ms, 1, 240, 107, 0, 1, 0, 0, 0, 128, 0
22693 ms, 1, 240, 103, 0, 1, 0, 0, 0, 128, 0
22755 ms, 1, 240, 109, 0, 1, 0, 0, 0, 128, 0
22813 ms, 1, 240, 113, 0, 0, 0, 0, 0, 0, 0
22870 ms, 1, 200, 167, 56, 39, 56, 39, 56, 128, 0
22925 ms, 1, 240, 106, 0, 39, 56, 39, 56, 128, 0
22981 ms, 1, 231, 1, 75, 1, 0, 0, 0, 128, 0
23036 ms, 1, 240, 104, 0, 1, 0, 0, 0, 128, 0
23094 ms, 1, 240, 103, 0, 0, 0, 0, 0, 0, 0
23149 ms, 1, 200, 167, 62, 39, 62, 39, 62, 128, 0
23205 ms, 1, 240, 108, 0, 39, 62, 39, 62, 128, 0
23275 ms, 1, 240, 107, 0, 39, 62, 39, 62, 128, 0
23331 ms, 1, 231, 1, 75, 1, 0, 0, 0, 128, 0
23394 ms, 1, 240, 110, 0, 1, 0, 0, 0, 128, 0
23449 ms, 1, 200, 167, 65, 39, 65, 39, 65, 128, 0
23505 ms, 1, 240, 110, 0, 39, 65, 39, 65, 128, 0
23561 ms, 1, 240, 106, 0, 39, 65, 39, 65, 128, 0
